matchday,home_team,away_team,quota_1,quota_X,quota_2,quota_1X,quota_2X,quota_GG,quota_NG
14,US Sassuolo Calcio,ACF Fiorentina,1.63,3.9,5.25,1.14,2.2,1.85,1.87
14,FC Internazionale Milano,Como 1907,2.65,3.1,2.75,1.43,1.45,1.83,1.88
14,Hellas Verona FC,Atalanta BC,2.05,3.0,4.1,1.22,1.73,2.15,1.63
14,US Cremonese,US Lecce,1.32,5.0,9.5,1.04,3.25,2.3,1.55
14,Cagliari Calcio,AS Roma,1.6,4.0,5.5,1.13,2.25,1.9,1.8
14,SS Lazio,Bologna FC 1909,3.0,2.85,2.6,1.45,1.35,2.05,1.7
14,SSC Napoli,Juventus FC,9.0,5.25,1.3,3.25,1.04,2.15,1.63
14,AC Pisa 1909,Parma Calcio 1913,1.7,3.75,4.6,1.17,2.05,1.73,2.0
14,Udinese Calcio,Genoa CFC,2.55,2.8,3.1,1.33,1.47,1.92,1.77
14,Torino FC,AC Milan,1.45,4.1,7.0,1.07,2.6,2.2,1.6
